Date,Alteraciones de la respiración (count),Análisis del Sueño [Total] (hr),Análisis del Sueño [Asleep] (hr),Análisis del Sueño [In Bed] (hr),Análisis del Sueño [Core] (hr),Análisis del Sueño [Deep] (hr),Análisis del Sueño [REM] (hr),Análisis del Sueño [Awake] (hr),Frecuencia Cardíaca [Min] (count/min),Frecuencia Cardíaca [Max] (count/min),Frecuencia Cardíaca [Avg] (count/min),Frecuencia respiratoria (count/min),Hora de Estar de Pie de Apple (count),Minutos Conscientes (min),Promedio de Frecuencia Cardíaca al Caminar (count/min),Temperatura de Muñeca Mientras Duerme de Apple (degC),Tiempo de Ejercicio de Apple (min),Tiempo de Movimiento de Apple (min),Tiempo en Luz de Día (min),Variabilidad de Frecuencia Cardíaca (ms) 
2024-07-03 00:00:00,,9.166666666666668,0.0,9.166666666666666,5.858333333333334,0.9916666666666667,2.316666666666667,0.1,44,138,44,14.99,10,,86,,22,,288.29,59.47,
2024-07-04 00:00:00,,6.875,0.0,6.875,5.033333333333333,0.43333333333333335,1.4083333333333332,0.23333333333333334,44,157,44,14.32,12,,106,,76,,160.71,84.77,
2024-07-05 00:00:00,,8.308333333333332,0.0,8.308333333333332,5.933333333333333,0.23333333333333334,2.141666666666666,0.6749999999999999,43,121,43,14.76,13,,,,16,,84,83.43,
2024-07-06 00:00:00,,7.1000000000000005,0.0,7.1,4.4,1.05,1.6500000000000001,0.15,44.8,173,44.8,15.97,14,,101,,46,,138,73.92,
2024-07-07 00:00:00,,9.566666666666666,0.0,9.566666666666666,6.658333333333333,0.7333333333333334,2.175,0.17500000000000002,45,122,45,15.19,12,,162.5,,30,,25,88,
2024-07-08 00:00:00,,7.733333333333335,0.0,7.733333333333335,5.125000000000002,0.875,1.7333333333333334,0.3333333333333333,45,205,45,14.74,14,,121,,128,,156,82.04,
2024-07-09 00:00:00,,7.441666666666667,0.0,7.441666666666666,4.675000000000001,0.8333333333333333,1.9333333333333333,0.15833333333333333,44,135,44,14.75,14,,114,,93,,95,83.72,
2024-07-10 00:00:00,,7.333333333333334,0.0,7.333333333333334,4.325,1.2583333333333333,1.7500000000000002,0.16666666666666669,41,177,41,14.8,11,,86,,34,,72,69.4,
2024-07-11 00:00:00,,8.491666666666665,0.0,8.491666666666667,5.3,0.9916666666666667,2.1999999999999997,0.19999999999999998,42,143,42,14.53,12,,104,,79,,140,88.91,
2024-07-12 00:00:00,,7.208333333333332,0.0,7.208333333333333,4.666666666666666,0.9750000000000001,1.5666666666666667,0.06666666666666667,43,105,43,14.68,8,,130,,9,,,57.51,
2024-07-13 00:00:00,,6.891666666666666,0.0,6.891666666666667,4.291666666666666,1.075,1.525,0.07500000000000001,40,178,40,14.58,14,,145,,217,,181,78.11,
2024-07-14 00:00:00,,6.841666666666667,0.0,6.841666666666666,4.366666666666667,0.8,1.675,0.008333333333333333,49,161,49,14.86,12,,106,,41,,73,76.18,
2024-07-15 00:00:00,,8.108333333333334,0.0,8.108333333333334,5.808333333333334,0.875,1.425,0.27499999999999997,43,137,43,14.21,8,,102,,37,,42,85.29,
2024-07-16 00:00:00,,7.158333333333333,0.0,7.158333333333333,4.275,1.2999999999999998,1.583333333333333,0.14166666666666666,45,140,45,14.22,13,,71,,36,,77,74.09,
2024-07-17 00:00:00,,7.883333333333335,0.0,7.883333333333333,4.7666666666666675,1.2333333333333334,1.8833333333333335,0.14166666666666666,40,136,40,14.74,14,,118.5,,41,,96,103.18,
2024-07-18 00:00:00,,7.958333333333332,0.0,7.958333333333334,4.741666666666666,0.8666666666666667,2.3499999999999996,0.20833333333333331,43,148,43,14.43,15,,111,,76,,82,81.47,
2024-07-19 00:00:00,,0.0,0.0,9.049173691107168,0.0,0.0,0.0,0.0,58,153,58,,9,,113.5,,43,,200,72.94,
2024-07-20 00:00:00,,5.033333333333333,0.0,5.033333333333333,3.9499999999999997,0.29166666666666663,0.7916666666666666,0.575,47,176,47,16.28,12,,,,51,,14,89.72,
2024-07-21 00:00:00,,5.674999999999999,0.0,5.675,4.783333333333332,0.24166666666666667,0.6499999999999999,0.14166666666666666,45,178,45,15.68,15,,115.5,,74,,11,77.49,
2024-07-22 00:00:00,,9.283333333333335,0.0,9.283333333333333,5.591666666666667,0.9166666666666667,2.7750000000000004,0.2916666666666667,41,160,41,15.08,12,,121,,49.04,,57.05,75.73,
2024-07-23 00:00:00,,7.6,0.0,7.6000000000000005,4.916666666666667,1.0166666666666666,1.6666666666666665,0.075,43,148,43,14.59,13,,115,,113.96,,80.95,74.79,
2024-07-24 00:00:00,,7.441666666666666,0.0,7.4416666666666655,4.866666666666666,0.9,1.6749999999999998,0.6416666666666667,43,157,43,15.18,14,,120.5,,102,,157,87.12,
2024-07-25 00:00:00,,4.875,0.0,4.875,3.125,0.5916666666666667,1.1583333333333332,0.05,46,159,46,14.68,14,,82,,42,,83,65.3,
2024-07-26 00:00:00,,7.408333333333335,0.0,7.408333333333334,4.750000000000001,0.9166666666666667,1.7416666666666667,0.20833333333333331,63,79.21,63,14.94,15,,,,10,,,94.06,
2024-07-27 00:00:00,,6.533333333333332,0.0,6.533333333333333,4.183333333333333,0.7083333333333333,1.6416666666666666,0.041666666666666664,47,185,47,14.11,15,,126.5,,76,,115,88.88,
2024-07-28 00:00:00,,5.75,0.0,5.75,4.75,0.016666666666666666,0.9833333333333333,0.2833333333333333,46,175,46,15.17,15,,68,,43,,12,98.54,
2024-07-29 00:00:00,,8.908333333333333,0.0,8.908333333333335,4.9750000000000005,0.9083333333333333,3.025,0.19166666666666665,37,147,37,14.4,9,,107,,11,,21,99.72,
2024-07-30 00:00:00,,7.408333333333334,0.0,7.408333333333334,4.708333333333334,0.5333333333333333,2.166666666666667,0.025,42,163,42,14.1,14,,97,,152,,150,86.72,
2024-07-31 00:00:00,,7.508333333333334,0.0,7.508333333333333,5.375,0.4666666666666667,1.6666666666666667,0.125,42,157,42,13.96,7,,97.5,,39,,60.31,128.89,
2024-08-01 00:00:00,,5.8583333333333325,0.0,5.8583333333333325,3.8833333333333333,0.8083333333333333,1.1666666666666665,0.15,49,176,49,16.24,15,,127,,75,,180.69,81.45,
2024-08-02 00:00:00,,7.008333333333333,0.0,7.008333333333332,5.033333333333332,0.3833333333333333,1.5916666666666668,0.41666666666666663,44,131,44,15.33,12,,105,,31,,18,74.7,
2024-08-03 00:00:00,,5.083333333333333,0.0,4.358333333333333,3.2916666666666665,0.5,1.2916666666666667,0.26666666666666666,46,175,46,14.64,12,,,,54,,15,120.55,
2024-08-04 00:00:00,,10.233333333333333,0.0,10.958333333333334,6.3999999999999995,0.9833333333333332,2.85,0.22499999999999998,37,142,37,13.75,12,1,116.5,,23,,31,96.12,
2024-08-05 00:00:00,,4.858333333333333,0.0,4.8583333333333325,3.708333333333333,0.2,0.9500000000000001,0.8083333333333333,42,151,42,15.96,15,,116,,75,,117.07,83.05,
2024-08-06 00:00:00,,9.033333333333333,0.0,9.033333333333333,5.225,1.0,2.808333333333333,0.06666666666666667,38,164,38,14.11,12,,130,,142,,185.59,91.21,
2024-08-07 00:00:00,,4.475,0.0,4.475,3.591666666666666,0.23333333333333334,0.65,0.25,48,176,48,17.27,19,,,,120,,157.78,88.57,
2024-08-08 00:00:00,,8.625,0.0,8.625,5.7250000000000005,0.9833333333333334,1.9166666666666663,0.2916666666666667,43,149,43,14.02,12,,89,,74,,81.56,77.32,
2024-08-09 00:00:00,,6.433333333333334,0.0,6.433333333333333,4.05,0.55,1.8333333333333335,0.075,40,185,40,15.59,14,,132,,120,,138,75.03,
2024-08-10 00:00:00,,4.183333333333334,0.0,4.183333333333334,2.7583333333333333,0.7749999999999999,0.65,0.016666666666666666,46,146,46,15.4,14,,89,,32,,30,72.08,
2024-08-11 00:00:00,,9.825,0.0,9.825000000000001,6.375,0.75,2.6999999999999997,0.4750000000000001,41,113,41,15.35,12,,73,,6,,118,92.42,
2024-08-12 00:00:00,,8.033333333333331,0.0,8.033333333333335,4.699999999999999,1.2833333333333332,2.05,0.14166666666666666,43,122,43,15.05,13,,88,,19,,229,102.04,
2024-08-13 00:00:00,,,,,,,,,48,117,48,14.85,14,,,,15,,39,68.64,
2024-08-14 00:00:00,,8.508333333333333,0.0,8.508333333333335,6.0666666666666655,0.7833333333333333,1.6583333333333334,0.09166666666666667,46,138,46,14.4,12,,95,,25,,127,91.23,
2024-08-15 00:00:00,,7.699999999999999,0.0,7.7,5.083333333333333,0.8666666666666667,1.75,0.075,46,143,46,14.53,13,,100.5,,17,,46,72.08,
2024-08-16 00:00:00,,4.191666666666667,0.0,4.191666666666666,2.6333333333333337,0.9166666666666666,0.6416666666666667,0.025,49,121,49,14.78,15,,,,20,,67,72.6,
2024-08-17 00:00:00,,5.7250000000000005,0.0,5.725000000000001,4.358333333333333,0.45,0.9166666666666667,0.4250000000000001,52,119,52,16.5,14,,91,,9,,,54.09,
2024-08-18 00:00:00,,9.416666666666666,0.0,9.416666666666668,6.508333333333333,1.0583333333333331,1.8499999999999999,0.075,46,137,46,15.7,9,,104,,26,,9,83.67,
